source_paper,cited_by
10.1109/TMI.2020.2992546,10.1109/JSEN.2021.3076767
10.1109/TMI.2020.2992546,10.1145/3449301.3449778
10.1109/TMI.2020.2992546,10.1016/j.media.2020.101824
10.1109/MWC.01.1900525,10.23919/JCC.2020.09.009
10.1109/TPAMI.2021.3052758,10.1109/TAI.2022.3185179
10.1016/j.knosys.2020.105992,10.1007/s10489-020-01776-3
10.1109/CISP-BMEI51763.2020.9263564,10.1007/978-3-030-60276-5_4
10.1109/IJCNN48605.2020.9207351,10.1109/TCAD.2020.3013049
10.1109/IJCNN48605.2020.9207351,10.1145/3445814.3446747
10.1109/JSAIT.2020.3040992,10.1109/TIT.2021.3111480
10.24963/ijcai.2020/693,10.1016/j.neunet.2021.02.025
10.1109/EMBC44109.2020.9176279,10.1109/ICPR48806.2021.9412478
10.1109/EMBC44109.2020.9176279,10.1007/978-3-030-64556-4_26
10.1103/PhysRevApplied.16.054035,10.22331/q-2021-06-29-483
10.1016/j.cma.2020.113552,10.1016/j.cma.2021.114012
10.1137/20M133957X,10.1016/j.physd.2021.132911
10.1145/3397271.3401078,10.1145/3397271.3401116
10.1007/s10596-020-10015-0,10.1016/j.cageo.2020.104676
10.1145/3383583.3398529,10.1007/978-3-030-53518-6_15
10.1038/s41551-021-00689-x,10.1186/s12859-021-04437-5
10.1109/TITS.2020.3043250,10.1109/ICPR48806.2021.9412695
10.1016/j.neunet.2022.06.013,10.1162/neco_a_01364
10.1109/TCYB.2015.2415032,10.1145/3484491
10.1103/PhysRevLett.128.180505,10.1103/PhysRevLett.128.070501
10.1103/PhysRevLett.128.180505,10.22331/q-2021-06-29-483
10.1109/PIMRC48278.2020.9217343,10.1145/3395352.3402624
10.1016/j.cma.2020.113620,10.1016/j.jcp.2021.110525
10.18653/v1/2020.acl-main.686,10.1109/MICRO50266.2020.00071
10.1080/13658816.2017.1346255,10.1111/2041-210X.13650
10.1109/TPAMI.2021.3134200,10.1145/3394486.3403076
10.1016/j.eswa.2021.115102,10.1016/j.sca.2023.100032
10.1117/12.2566332,10.1109/CIBCB48159.2020.9277638
10.1117/12.2566332,10.1109/AI4G50087.2020.9311073
10.1145/3357384.3358047,10.1145/3343413.3378009
10.1007/978-3-319-59050-9_18,10.1007/978-3-030-00934-2_56
10.1115/1.4048629,10.1016/j.cma.2020.113377
10.22331/q-2021-06-29-483,10.1103/PhysRevApplied.16.054035
10.1145/3394486.3403085,10.1109/TPAMI.2021.3115452
10.1016/j.eswa.2021.115285,10.1016/j.knosys.2021.107470
10.1111/j.1365-246X.2006.03227.x,10.1186/s12859-021-04437-5
10.1016/j.ins.2020.12.001,10.1007/s00521-020-05494-2
10.1088/1742-5468/ac3909,10.1038/s41467-021-23103-1
10.3934/fods.2020015,10.1016/j.physd.2021.132911
10.3389/frai.2020.00044,10.1016/j.neunet.2021.03.017
10.1109/GLOBECOM42002.2020.9322333,10.1109/TNNLS.2021.3069970
10.1088/1742-5468/ac3a77,10.1038/s41467-021-23103-1
10.1145/3394171.3414535,10.1145/3394171.3414536
10.9781/ijimai.2020.11.001,10.1007/s00521-020-05494-2
10.1109/TAI.2021.3067574,10.1007/s10710-021-09401-z
10.1145/3394486.3403276,10.1145/3340531.3411872
10.1145/3369816,10.1145/3394486.3403125
10.18130/v3-837s-3a79,10.3390/info11060318
10.1109/TITS.2018.2817658,10.1109/ITSC.2019.8917520
10.1016/j.cstp.2019.02.011,10.1109/MTITS.2017.8005700
10.1088/1742-5468/ac3ae8,10.1109/MSP.2020.3004124
10.1109/MTITS.2017.8005700,10.1016/j.cstp.2019.02.011
10.1145/3383652.3423911,10.1080/10447318.2021.1883883
10.1145/3394486.3403168,10.1109/TKDE.2021.3090866
10.1145/3407023.3407030,10.1145/3407023.3409190
10.1007/978-3-030-42553-1_3,10.1109/MCI.2022.3155327
10.1007/s42484-020-00036-4,10.1103/PhysRevLett.128.070501
10.1109/VLSID.2019.00056,10.1109/VLSID49098.2020.00044
10.1109/TIFS.2020.3003571,10.1145/3484491
10.3390/ijerph18115780,10.1016/j.compbiomed.2021.104949
10.1016/j.compbiomed.2021.104949,10.3390/ijerph18115780
10.1145/3394486.3403296,10.1109/IJCNN52387.2021.9533412
10.1145/3394486.3403296,10.3390/data7010010
10.1016/j.compstruct.2021.113957,10.1115/1.4049805
10.1103/PhysRevLett.128.070501,10.1103/PhysRevLett.128.180505
10.1109/ICPR48806.2021.9412478,10.1016/j.mlwa.2021.100088
10.1145/3394486.3403137,10.24963/ijcai.2021/290
10.1016/j.chaos.2021.111260,10.1007/s40745-021-00326-z
