source_paper,cited_by
10.1117/12.2531198,10.1117/12.2529984
10.1137/20M1346778,10.1016/j.orl.2019.12.003
10.1007/s11307-020-01487-8,10.1016/j.wneu.2019.08.232
10.5220/0007456306910698,10.18653/v1/W19-8630
10.1109/TCI.2020.2964201,10.1109/TMI.2020.2974858
10.1109/TCI.2020.2964201,10.1117/12.2529984
10.1137/19M1297919,10.1007/s42985-021-00100-z
10.1016/j.wneu.2019.08.232,10.1007/s11307-020-01487-8
10.1109/TVCG.2019.2934619,10.1109/TVCG.2020.3012063
10.1109/SSCI.2018.8628811,10.1109/SSCI44817.2019.9002694
10.1109/IWOBI.2017.7985525,10.1007/s00521-018-3464-7
10.1109/ICPHM.2019.8819383,10.36001/ijphm.2019.v10i4.2613
10.1109/TGRS.2019.2959248,10.1109/TIP.2020.3013166
10.1103/PhysRevResearch.2.033199,10.1145/3357713.3384314
10.1145/3298689.3347058,10.1145/3370082
10.1007/978-3-030-27615-7_20,10.1145/3357384.3357974
10.1145/3314221.3314638,10.1145/3387514.3405859
10.3390/e21100924,10.3390/e22010007
10.1103/PhysRevLett.123.170602,10.1016/j.physa.2020.125517
10.1109/COMST.2020.2970550,10.1145/3469029
10.1089/big.2016.0048,10.1145/3359313
10.1007/978-3-030-29888-3_21,10.1109/ICCVW.2019.00317
10.1145/3328932,10.1109/ICASSP40776.2020.9053985
10.1109/ICDE.2019.00208,10.1145/3366423.3380018
10.1109/ACII.2019.8925507,10.1109/ICASSP40776.2020.9053985
10.1145/3240323.3240388,10.1145/3298689.3347006
10.1088/1361-6420/ab5a21,10.1073/pnas.1913995117
10.1017/S0956792521000073,10.1007/s42985-021-00100-z
10.1007/978-3-030-01424-7_13,10.1109/TNNLS.2019.2955597
10.1109/TVCG.2019.2934614,10.1145/3356471.3365243
10.3390/w10111536,10.20944/preprints201905.0124.v3
10.3390/w10111536,10.3390/infrastructures4020026
10.1063/5.0128446,10.1016/j.ijheatmasstransfer.2022.122919
10.1016/j.jcp.2020.109456,10.1016/j.ijggc.2020.103223
10.1007/978-3-030-33850-3_6,10.1109/TNNLS.2020.3027314
10.1109/IPIN.2019.8911792,10.1109/WPNC47567.2019.8970177
10.1145/3397191,10.1089/big.2019.0169
10.1016/j.neucom.2018.09.104,10.1016/j.neucom.2019.08.007
10.1007/s42985-021-00100-z,10.1142/S021902572150020X
10.18653/v1/D19-1272,10.1609/aaai.v34i05.6328
10.1080/17517575.2019.1633689,10.1145/3337065
10.1016/j.ijforecast.2020.06.008,10.1109/TNNLS.2020.2985720
10.1103/PhysRevResearch.2.033429,10.1038/s41557-020-0544-y
10.1364/OSAC.2.003438,10.1038/s42005-020-00444-9
10.1007/978-3-030-46150-8_43,10.1109/ICMLA.2019.00301
10.1142/S0219649220400134,10.1016/j.ins.2019.10.017
10.1561/2200000054,10.1007/s40300-019-00155-4
10.1145/3337065,10.1080/17517575.2019.1633689
10.4230/LIPIcs.ICDT.2019.24,10.1109/LICS.2019.8785811
10.1109/ICCChina.2019.8855868,10.1109/GCWkshps45667.2019.9024679
10.1007/978-3-030-28954-6_11,10.1007/978-3-030-28954-6_1
10.1109/MSP.2019.2935234,10.1109/TNNLS.2020.3044364
10.1109/TC.2020.2994391,10.1109/COMST.2020.2970550
10.1109/JSAC.2020.3000405,10.1016/j.comcom.2022.09.029
10.1109/ICMLA.2018.00185,10.1007/978-3-030-46150-8_43
10.1109/TITS.2018.2883823,10.1109/ACCESS.2020.3041470
