source_paper,cited_by
10.1109/TSP.2008.920143,10.1109/TAC.2016.2525928
10.1143/JPSJ.76.114001,10.1143/JPSJ.77.094801
10.1016/j.neunet.2006.05.002,10.1007/978-3-319-07695-9_1
10.1016/j.neunet.2006.05.002,10.1007/s13218-012-0207-2
10.1016/j.neunet.2006.05.002,10.1007/978-3-642-01805-3_6
10.1016/j.chemolab.2006.06.007,10.1007/978-3-642-13312-1_46
10.1016/j.chemolab.2006.06.007,10.1016/j.neucom.2009.11.022
10.1016/j.neucom.2006.11.019,10.1007/978-3-642-01805-3_4
10.1007/978-3-642-13800-3_7,10.1613/jair.3313
10.1186/gb-2008-9-s2-s11,10.1007/s12065-011-0052-5
10.1109/TNN.2010.2095882,10.1016/j.neucom.2013.02.024
10.1109/TNN.2010.2095882,10.1007/978-3-642-33460-3_51
10.1613/jair.2693,10.1613/jair.3640
10.1613/jair.2693,10.1007/978-3-642-23291-6_28
10.1613/jair.2693,10.1613/jair.2934
10.1613/jair.2693,10.1214/09-AOAS321
10.1109/TPAMI.2010.47,10.1109/ICMLA.2013.72
10.1109/TPAMI.2010.47,10.1109/TPAMI.2014.2315792
10.1075/is.12.1.05fon,10.1016/j.jmp.2012.11.002
10.1016/j.physa.2009.08.030,10.1007/s10472-015-9470-x
10.1016/j.physa.2009.08.030,10.3233/978-1-61499-096-3-180
10.1007/s10994-008-5093-3,10.1109/MCI.2014.2326100
10.1007/s10994-008-5093-3,10.1088/0004-637X/793/1/23
10.1587/transfun.E93.A.617,10.1088/1742-6596/233/1/012014
10.1109/TIP.2009.2035228,10.1109/TSP.2011.2165211
10.1109/TIT.2011.2104670,10.1109/ISIT.2010.5513384
10.1017/S1473550409990358,10.1017/S1473550413000372
10.1109/TIT.2012.2201375,10.1109/JSTSP.2012.2234082
10.1109/ISIT.2010.5513384,10.1109/TIT.2011.2104670
10.1088/1742-5468/2010/08/P08014,10.1088/1751-8113/46/37/375002
10.1016/j.neucom.2009.11.022,10.1007/978-3-319-02999-3_2
10.1016/j.neucom.2009.11.022,10.1016/j.neucom.2012.10.030
10.1016/j.neucom.2009.11.022,10.1109/IJCNN.2012.6252818
10.1016/j.neucom.2009.11.022,10.1007/s13218-012-0207-2
10.1016/j.neucom.2009.11.022,10.1007/s11634-011-0096-5
10.1109/TNNLS.2014.2333876,10.2478/amcs-2019-0028
10.1109/TSP.2011.2171953,10.1109/TSP.2012.2226165
10.1109/TSMCB.2011.2163392,10.1007/978-3-319-57454-7_53
10.1016/j.specom.2013.01.005,10.1109/ICASSP.2014.6854993
10.1016/j.specom.2013.01.005,10.1109/TIT.2016.2556702
10.1016/j.specom.2013.01.005,10.1109/ISIT.2013.6620308
10.1109/TPAMI.2012.172,10.1016/j.neunet.2015.07.011
10.1109/TSP.2011.2168521,10.1109/TSP.2015.2500889
10.1109/TSP.2011.2168521,10.1109/TSP.2015.2401536
10.1103/PhysRevLett.106.090601,10.7566/JPSJ.84.054801
10.1103/PhysRevLett.106.090601,10.7566/JPSJ.84.024801
10.1109/TPAMI.2012.266,10.1016/j.neunet.2015.07.011
10.1007/s10208-012-9129-5,10.1109/TSP.2013.2272925
10.1109/TSP.2012.2196696,10.1109/ICASSP.2014.6854029
10.1109/MCOM.2011.5978427,10.1109/TWC.2013.092413.130221
10.1007/978-3-642-20161-5_41,10.1007/978-3-642-23780-5_34
10.1214/12-AOS1009,10.1214/12-AOS1070
10.1007/s10462-012-9346-y,10.1007/s10472-014-9419-5
10.1007/s10817-013-9286-5,10.1007/s10817-015-9330-8
10.1007/s10817-013-9286-5,10.1007/s10817-014-9303-3
10.1103/PhysRevE.85.041145,10.1103/PhysRevE.88.012815
10.1109/TPAMI.2012.185,10.1109/TKDE.2015.2492565
10.1214/12-AOS994,10.1214/14-AOS1218
10.1007/s11263-012-0602-z,10.1007/s00521-016-2269-9
10.1016/j.patcog.2012.09.027,10.1109/IJCNN.2014.6889449
10.1109/TIT.2013.2255021,10.1371/journal.pone.0132945
10.1117/12.893811,10.1109/TIP.2015.2496275
