source_paper,cited_by
10.1109/DEVLRN.2011.6037329,10.1016/j.robot.2012.05.008
10.1109/TPAMI.2014.2313126,10.1162/neco_a_01100
10.1109/TPAMI.2014.2313126,10.1162/neco_a_00982
10.1214/12-AOS1025,10.3150/14-BEJ679
10.1209/0295-5075/103/28008,10.1109/ISIT.2013.6620308
10.1145/1569901.1570075,10.1007/s00500-013-1044-4
10.1145/1569901.1570075,10.1145/2001858.2001952
10.1109/TSP.2013.2250968,10.1109/TSP.2015.2405503
10.3150/13-BEJ582,10.3150/15-BEJ703
10.5121/ijaia.2012.3205,10.5121/ijscai.2014.3102
10.1109/TKDE.2012.131,10.1109/TNNLS.2014.2333876
10.1088/1742-5468/2012/12/P12021,10.1103/PhysRevX.6.031005
10.1109/JSTSP.2012.2234082,10.1109/TSP.2015.2500889
10.1109/JSTSP.2012.2234082,10.1109/TSP.2015.2500192
10.1016/j.sigpro.2014.03.047,10.1109/JSTSP.2012.2234082
10.1016/j.patcog.2013.10.006,10.1016/j.patcog.2015.01.004
10.1016/j.patcog.2013.10.006,10.1007/s10994-016-5546-z
10.1109/TNNLS.2013.2271507,10.1109/JPROC.2015.2474704
10.1109/TNNLS.2013.2271507,10.1109/TIP.2015.2478396
10.1109/TSP.2014.2318138,10.1109/TNSRE.2014.2319334
10.1137/120900629,10.1137/130946782
10.1137/120900629,10.1137/130940670
10.1137/120900629,10.1109/TPAMI.2013.226
10.1109/ISIT.2013.6620308,10.1109/TIT.2016.2556702
10.1371/journal.pone.0063400,10.1073/pnas.1508400112
10.1109/TSP.2013.2278516,10.1109/TSP.2015.2417491
10.1177/0278364913499192,10.1038/nature14422
10.1145/2487575.2487693,10.1214/15-AOAS887
10.1109/TSP.2014.2333554,10.1109/JPROC.2015.2474704
10.1016/j.sigpro.2013.06,10.1109/TSP.2014.2329274
10.1109/TIT.2016.2605122,10.1109/TSP.2015.2401536
10.1109/CVPR.2013.173,10.1109/CVPR.2015.7298942
10.1109/CVPR.2013.173,10.1109/TIP.2015.2401511
10.1109/ICSMC.2012.6377825,10.1109/CIVEMSA.2013.6617400
10.1109/TSP.2013.2279358,10.1109/LSP.2015.2463232
10.1109/TSP.2013.2279358,10.1145/2732587.2732600
10.1109/TSP.2013.2279358,10.1109/TSP.2015.2391071
10.1109/TSP.2013.2279358,10.1137/140952314
10.1109/JSTSP.2014.2299517,10.1109/JSTSP.2014.2370942
10.3150/12-BEJSP17,10.1109/JSTSP.2015.2396477
10.1109/JSTSP.2014.2336611,10.1109/TSG.2015.2469098
10.5121/ijdkp.2013.3504,10.14569/IJARAI.2014.030101
10.1137/130940670,10.1007/s10898-015-0350-z
10.1137/130940670,10.1137/140994915
10.1137/130940670,10.1137/130946782
10.1109/MSP.2013.2250591,10.1371/journal.pone.0148655
10.1137/130946782,10.1137/140994915
10.1088/0004-637X/777/2/83,10.1109/MCI.2014.2326100
10.1088/0004-637X/777/2/83,10.1088/0004-637X/793/1/23
10.1109/IJCNN.2014.6889449,10.1007/s00521-015-2042-5
10.1109/IJCNN.2014.6889449,10.1016/j.neunet.2015.07.011
10.1109/TASLP.2014.2337842,10.1109/TASLP.2016.2541299
10.1007/s11634-011-0096-5,10.1016/j.neucom.2012.10.030
10.1007/s11634-011-0096-5,10.1109/IJCNN.2012.6252818
10.1016/j.neucom.2009.12.023,10.1007/978-3-319-02999-3_2
10.1016/j.neucom.2009.12.023,10.1016/j.neucom.2012.10.030
10.1016/j.neucom.2009.12.023,10.1109/IJCNN.2012.6252818
10.1016/j.neucom.2009.12.023,10.1007/s11634-011-0096-5
10.1016/j.neunet.2009.06.040,10.1016/j.neucom.2013.04.003
10.1016/j.neunet.2009.06.040,10.1016/j.neucom.2012.10.030
10.1016/j.neunet.2009.06.040,10.1109/IJCNN.2012.6252818
10.1016/j.neunet.2009.06.040,10.1016/j.neucom.2009.12.023
10.1613/jair.2530,10.1613/jair.3879
10.1613/jair.2628,10.1109/TCIAIG.2017.2679115
10.1613/jair.2628,10.1007/s10458-011-9181-6
10.1613/jair.2773,10.1007/s10472-014-9419-5
10.1613/jair.2773,10.1007/s10462-012-9346-y
10.1007/s10618-015-0417-y,10.1145/2792838.2800174
10.1109/TSP.2014.2385045,10.1109/TSP.2015.2472372
10.5120/12065-8172,10.5120/13376-0987
10.1109/TIP.2015.2478396,10.1109/JPROC.2015.2474704
10.1007/978-3-662-44845-8_15,10.1007/s10994-016-5546-z
10.1109/LSP.2014.2347582,10.1109/TASLP.2016.2541299
10.1109/TSP.2015.2401536,10.1109/TSP.2017.2649482
10.1109/TSP.2015.2401536,10.1093/imaiai/iax012
10.1007/978-3-642-29347-4_20,10.1007/978-3-319-07176-3_6
10.1137/140952314,10.1109/LSP.2015.2463232
10.1016/j.eswa.2015.03.007,10.4467/20838476SI.15.012.3034
10.1016/j.eswa.2015.03.007,10.4467/20838476SI.14.005.3022
10.1103/PhysRevE.90.052813,10.1088/1742-5468/2015/08/P08008
10.1016/j.neucom.2014.07.062,10.1016/j.neunet.2020.08.013
10.1016/j.neucom.2014.07.062,10.1016/j.neucom.2015.06.065
10.1016/j.ins.2016.01.101,10.1109/TFUZZ.2015.2505330
10.1109/TSP.2015.2457396,10.1109/TSP.2015.2442960
10.1086/678977,10.1093/mnras/stv632
10.7566/JPSJ.84.024801,10.7566/JPSJ.84.054801
10.7566/JPSJ.84.024801,10.7566/JPSJ.84.034003
10.1016/j.neucom.2015.06.065,10.1016/j.neunet.2020.08.013
10.1137/140993272,10.1109/TSP.2015.2391071
10.1109/TSP.2015.2391071,10.1109/LSP.2015.2463232
10.7566/JPSJ.84.034003,10.7566/JPSJ.84.054801
10.1016/j.knosys.2015.10.021,10.1016/j.eswa.2016.02.026
10.1109/TITB.2011.2171978,10.1109/TITB.2012.2227271
10.1109/TPAMI.2013.218,10.1109/TPAMI.2017.2772235
10.1145/2817946.2817949,10.7717/peerj-cs.26
10.1145/2817946.2817949,10.1371/journal.pone.0142390
10.1109/DSAA.2014.7058121,10.14569/IJACSA.2015.060313
10.4467/20838476SI.14.005.3022,10.1016/j.eswa.2015.03.007
10.1007/978-3-642-33460-3_9,10.1016/j.eswa.2014.04.032
10.1371/journal.pone.0142390,10.7717/peerj-cs.26
10.7717/peerj-cs.26,10.1371/journal.pone.0142390
10.1155/2015/824289,10.1109/LSP.2015.2460737
10.1016/j.patrec.2011.10.022,10.1016/j.neucom.2013.02.019
10.1016/j.neucom.2015.12.110,10.1109/TNNLS.2017.2705694
10.1016/j.neunet.2015.07.011,10.1007/s00521-016-2269-9
10.1109/ALLERTON.2015.7447163,10.1109/TSP.2016.2557301
10.1109/TCYB.2015.2508603,10.1109/TCYB.2016.2601438
10.1109/JPROC.2015.2474704,10.1109/TIP.2015.2478396
10.1109/JPROC.2015.2474704,10.1109/TNNLS.2015.2487364
10.1109/TSP.2016.2537271,10.1109/TSP.2016.2537261
10.1109/TSP.2016.2537261,10.1109/TSP.2016.2537271
10.1109/MCI.2014.2326100,10.1088/0004-637X/793/1/23
